title,total_params_mentioned,total_mentions,framework_coverage
Responsible Contracting Standard,19,48.0,0.4634146341463415
Cloudwork (Online Work) Principles,25,60.0,0.6097560975609756
Data Enrichment Sourcing Guidelines,7,17.0,0.17073170731707318
Protocols for Safe Content Moderation,21,65.0,0.5121951219512195
Building Better Workplaces for Data Workers,30,90.0,0.7317073170731707
Kenya's Digital First Responders: The Hidden Workforce Powering Global Tech,18,46.0,0.43902439024390244
TikTok German workers strike demands,7,10.0,0.17073170731707318
Google Help workers union contract with Accenture,5,7.0,0.12195121951219512
UNI and Teleperformance have started implementation of the global agreement,4,6.0,0.0975609756097561
Turkers demands to Mturk,5,8.0,0.12195121951219512
Covalen contractors open letter,9,20.0,0.21951219512195122
TELUS must respect the right to organize and bargain collectively,14,34.0,0.34146341463414637
In-house data annotation best practice principles developed by MTI,12,15.0,0.2926829268292683
Guidelines for Ethical Data Work in Research,22,105.0,0.5365853658536586
